date,wind_direction,wind_speed,visibility,temp,temp_d,humidity,temp_e,temp_es,pressure,pressure_o
00:00 19.03.2011,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
00:00 19.03.2025,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
00:00 19.03.2012,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
03:00 19.03.2011,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
00:00 19.03.2013,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
00:00 19.03.2019,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
03:00 19.03.2025,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
00:00 19.03.2021,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
00:00 19.03.2017,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
00:00 19.03.2024,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
00:00 19.03.2018,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
03:00 19.03.2012,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
00:00 19.03.2016,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
00:00 19.03.2014,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
06:00 19.03.2011,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
00:00 19.03.2015,З,2,20000,0.0,-2.5,83,-4,-4,1023.7,1002.6
03:00 19.03.2013,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
06:00 19.03.2025,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
03:00 19.03.2019,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
03:00 19.03.2021,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
03:00 19.03.2017,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
03:00 19.03.2024,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
03:00 19.03.2018,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
03:00 19.03.2014,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
06:00 19.03.2012,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
03:00 19.03.2016,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
06:00 19.03.2021,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
09:00 19.03.2011,З,3,10000,+2.5,+0.7,88,-2,-2,1026.1,1005.1
06:00 19.03.2013,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
06:00 19.03.2019,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
06:00 19.03.2017,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
06:00 19.03.2024,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
03:00 19.03.2015,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
09:00 19.03.2025,З,3,10000,+2.5,+0.7,88,-2,-2,1026.1,1005.1
06:00 19.03.2018,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
09:00 19.03.2019,З,3,10000,+2.5,+0.7,88,-2,-2,1026.1,1005.1
06:00 19.03.2014,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
12:00 19.03.2011,СЗ,3,20000,+5.0,+1.9,80,+2,+2,1025.5,1004.7
09:00 19.03.2013,З,3,10000,+2.5,+0.7,88,-2,-2,1026.1,1005.1
09:00 19.03.2021,З,3,10000,+2.5,+0.7,88,-2,-2,1026.1,1005.1
09:00 19.03.2012,З,3,10000,+2.5,+0.7,88,-2,-2,1026.1,1005.1
12:00 19.03.2019,СЗ,3,20000,+5.0,+1.9,80,+2,+2,1025.5,1004.7
09:00 19.03.2017,З,3,10000,+2.5,+0.7,88,-2,-2,1026.1,1005.1
